province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1092581,40.88,ILLITERATE,645946
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,10 - 14,213984,51.7,ILLITERATE,103345
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,15 - 19,173798,48.91,ILLITERATE,88797
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,20 - 24,129429,44.68,ILLITERATE,71605
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,25 - 29,114548,40.5,ILLITERATE,68159
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,30 - 34,103423,39.15,ILLITERATE,62933
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,35 - 39,91106,36.92,ILLITERATE,57467
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,40 - 44,67898,33.26,ILLITERATE,45312
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,45 - 49,55219,29.67,ILLITERATE,38836
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,50 - 54,41233,28.32,ILLITERATE,29554
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,55 - 59,29320,25.39,ILLITERATE,21875
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,60 - 64,26788,21.83,ILLITERATE,20941
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,65 - 69,18253,21.77,ILLITERATE,14280
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,70 - 74,12481,18.1,ILLITERATE,10222
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,15101,16.43,ILLITERATE,12620
