province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,1,7995,2.78,1.19,214525,74.5,5.09,7114
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,1,37825,13.14,1.19,214525,74.5,5.09,33553
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,1,35586,12.36,1.24,214525,74.5,5.09,30109
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,1,37560,13.04,1.29,214525,74.5,5.09,30151
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,1,37448,13.01,1.37,214525,74.5,5.09,28393
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,1,35221,12.23,1.43,214525,74.5,5.09,25382
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,1,29874,10.38,1.45,214525,74.5,5.09,20821
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,1,23433,8.14,1.5,214525,74.5,5.09,15702
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,1,16238,5.64,1.57,214525,74.5,5.09,10109
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,26761,9.29,1.89,214525,74.5,5.09,13191
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,2,7995,2.78,1.19,50461,17.52,6.65,556
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,2,37825,13.14,1.19,50461,17.52,6.65,3038
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,2,35586,12.36,1.24,50461,17.52,6.65,4000
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,2,37560,13.04,1.29,50461,17.52,6.65,5429
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,2,37448,13.01,1.37,50461,17.52,6.65,6357
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,2,35221,12.23,1.43,50461,17.52,6.65,6861
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,2,29874,10.38,1.45,50461,17.52,6.65,6464
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,2,23433,8.14,1.5,50461,17.52,6.65,5480
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,2,16238,5.64,1.57,50461,17.52,6.65,4294
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,26761,9.29,1.89,50461,17.52,6.65,7982
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,3,7995,2.78,1.19,13844,4.81,7.42,188
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,3,37825,13.14,1.19,13844,4.81,7.42,639
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,3,35586,12.36,1.24,13844,4.81,7.42,851
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,3,37560,13.04,1.29,13844,4.81,7.42,1252
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,3,37448,13.01,1.37,13844,4.81,7.42,1692
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,3,35221,12.23,1.43,13844,4.81,7.42,1863
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,3,29874,10.38,1.45,13844,4.81,7.42,1612
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,3,23433,8.14,1.5,13844,4.81,7.42,1393
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,3,16238,5.64,1.57,13844,4.81,7.42,1134
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,26761,9.29,1.89,13844,4.81,7.42,3220
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,4,7995,2.78,1.19,4935,1.71,7.93,54
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,4,37825,13.14,1.19,4935,1.71,7.93,242
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,4,35586,12.36,1.24,4935,1.71,7.93,285
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,4,37560,13.04,1.29,4935,1.71,7.93,390
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,4,37448,13.01,1.37,4935,1.71,7.93,523
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,4,35221,12.23,1.43,4935,1.71,7.93,614
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,4,29874,10.38,1.45,4935,1.71,7.93,581
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,4,23433,8.14,1.5,4935,1.71,7.93,502
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,4,16238,5.64,1.57,4935,1.71,7.93,410
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,26761,9.29,1.89,4935,1.71,7.93,1334
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,5,7995,2.78,1.19,1605,0.56,8.02,26
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,5,37825,13.14,1.19,1605,0.56,8.02,110
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,5,35586,12.36,1.24,1605,0.56,8.02,117
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,5,37560,13.04,1.29,1605,0.56,8.02,116
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,5,37448,13.01,1.37,1605,0.56,8.02,169
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,5,35221,12.23,1.43,1605,0.56,8.02,196
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,5,29874,10.38,1.45,1605,0.56,8.02,164
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,5,23433,8.14,1.5,1605,0.56,8.02,148
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,5,16238,5.64,1.57,1605,0.56,8.02,116
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,26761,9.29,1.89,1605,0.56,8.02,443
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,6,7995,2.78,1.19,727,0.25,8.63,14
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,6,37825,13.14,1.19,727,0.25,8.63,47
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,6,35586,12.36,1.24,727,0.25,8.63,38
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,6,37560,13.04,1.29,727,0.25,8.63,49
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,6,37448,13.01,1.37,727,0.25,8.63,80
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,6,35221,12.23,1.43,727,0.25,8.63,90
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,6,29874,10.38,1.45,727,0.25,8.63,55
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,6,23433,8.14,1.5,727,0.25,8.63,63
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,6,16238,5.64,1.57,727,0.25,8.63,56
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,26761,9.29,1.89,727,0.25,8.63,235
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,7,7995,2.78,1.19,1275,0.44,6.28,33
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,7,37825,13.14,1.19,1275,0.44,6.28,133
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,7,35586,12.36,1.24,1275,0.44,6.28,135
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,7,37560,13.04,1.29,1275,0.44,6.28,129
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,7,37448,13.01,1.37,1275,0.44,6.28,176
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,6 PERSONS,7,35221,12.23,1.43,1275,0.44,6.28,162
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,7 PERSONS,7,29874,10.38,1.45,1275,0.44,6.28,136
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,8 PERSONS,7,23433,8.14,1.5,1275,0.44,6.28,106
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,9 PERSONS,7,16238,5.64,1.57,1275,0.44,6.28,80
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,26761,9.29,1.89,1275,0.44,6.28,185
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,1 PERSON,8,7995,2.78,1.19,192,0.07,9.56,3
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,2 PERSONS,8,37825,13.14,1.19,192,0.07,9.56,19
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,3 PERSONS,8,35586,12.36,1.24,192,0.07,9.56,15
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,4 PERSONS,8,37560,13.04,1.29,192,0.07,9.56,11
SINDH,080,GHOTKI DISTRICT,GHOTKI DISTRICT,TOTAL,5 PERSONS,8,37448,13.01,1.37,192,0.07,9.56,20
