province_name,district_code,district_name,area_name,area_type,gender,age_group,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,ALL AGES,3723
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,00 - 04,241
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,05 - 09,482
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,10 - 14,446
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,15 - 19,428
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,20 - 24,297
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,25 - 29,357
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,30 - 34,254
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,35 - 39,236
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,40 - 44,186
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,45 - 49,155
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,50 - 54,127
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,55 - 59,94
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,60 - 64,116
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,65 - 69,90
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,70 - 74,86
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,128
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,ALL AGES,2267
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,00 - 04,124
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,05 - 09,293
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,10 - 14,262
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,15 - 19,239
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,20 - 24,178
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,25 - 29,217
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,30 - 34,153
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,35 - 39,162
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,40 - 44,129
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,45 - 49,107
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,50 - 54,82
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,55 - 59,62
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,60 - 64,80
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,65 - 69,59
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,70 - 74,61
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,75 AND ABOVE,59
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,ALL AGES,1455
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,00 - 04,117
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,05 - 09,189
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,10 - 14,184
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,15 - 19,189
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,20 - 24,119
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,25 - 29,140
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,30 - 34,101
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,35 - 39,73
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,40 - 44,57
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,45 - 49,48
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,50 - 54,45
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,55 - 59,32
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,FEMALE,60 - 64,36
