province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,1 PERSON,1,253,0.51,2.71,7542,15.27,5.71,86
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,2 PERSONS,1,1724,3.49,1.98,7542,15.27,5.71,850
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,3 PERSONS,1,2036,4.12,2,7542,15.27,5.71,877
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,4 PERSONS,1,2780,5.63,2.13,7542,15.27,5.71,1024
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,5 PERSONS,1,3619,7.33,2.29,7542,15.27,5.71,1100
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,6 PERSONS,1,4576,9.27,2.48,7542,15.27,5.71,997
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,7 PERSONS,1,5225,10.58,2.65,7542,15.27,5.71,881
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,8 PERSONS,1,5224,10.58,2.83,7542,15.27,5.71,670
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,9 PERSONS,1,4604,9.32,3.05,7542,15.27,5.71,396
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,10 PERSONS AND ABOVE,1,19343,39.17,4.18,7542,15.27,5.71,661
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,1 PERSON,2,253,0.51,2.71,13131,26.59,7.35,51
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,2 PERSONS,2,1724,3.49,1.98,13131,26.59,7.35,484
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,3 PERSONS,2,2036,4.12,2,13131,26.59,7.35,677
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,4 PERSONS,2,2780,5.63,2.13,13131,26.59,7.35,1011
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,5 PERSONS,2,3619,7.33,2.29,13131,26.59,7.35,1323
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,6 PERSONS,2,4576,9.27,2.48,13131,26.59,7.35,1762
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,7 PERSONS,2,5225,10.58,2.65,13131,26.59,7.35,1915
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,8 PERSONS,2,5224,10.58,2.83,13131,26.59,7.35,1801
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,9 PERSONS,2,4604,9.32,3.05,13131,26.59,7.35,1410
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,10 PERSONS AND ABOVE,2,19343,39.17,4.18,13131,26.59,7.35,2697
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,1 PERSON,3,253,0.51,2.71,11330,22.94,9.09,44
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,2 PERSONS,3,1724,3.49,1.98,11330,22.94,9.09,181
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,3 PERSONS,3,2036,4.12,2,11330,22.94,9.09,256
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,4 PERSONS,3,2780,5.63,2.13,11330,22.94,9.09,389
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,5 PERSONS,3,3619,7.33,2.29,11330,22.94,9.09,673
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,6 PERSONS,3,4576,9.27,2.48,11330,22.94,9.09,1012
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,7 PERSONS,3,5225,10.58,2.65,11330,22.94,9.09,1355
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,8 PERSONS,3,5224,10.58,2.83,11330,22.94,9.09,1461
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,9 PERSONS,3,4604,9.32,3.05,11330,22.94,9.09,1408
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,10 PERSONS AND ABOVE,3,19343,39.17,4.18,11330,22.94,9.09,4551
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,1 PERSON,4,253,0.51,2.71,8166,16.54,10.72,34
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,2 PERSONS,4,1724,3.49,1.98,8166,16.54,10.72,118
