province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
BALOCHISTAN,112,KECH DISTRICT,KECH (TURBAT) TEHSIL,TURBAT MUNICIPAL CORPORATION,"200,000 - 499,999",68603,6.15,6.14,ALL SEXES,213831
BALOCHISTAN,112,KECH DISTRICT,KECH (TURBAT) TEHSIL,TURBAT MUNICIPAL CORPORATION,"200,000 - 499,999",68603,6.15,6.14,MALE,118713
BALOCHISTAN,112,KECH DISTRICT,KECH (TURBAT) TEHSIL,TURBAT MUNICIPAL CORPORATION,"200,000 - 499,999",68603,6.15,6.14,FEMALE,95086
BALOCHISTAN,112,KECH DISTRICT,KECH (TURBAT) TEHSIL,TURBAT MUNICIPAL CORPORATION,"200,000 - 499,999",68603,6.15,6.14,TRANSGENDER,32
BALOCHISTAN,112,KECH DISTRICT,TUMP SUB-TEHSIL,TUMP MC,"25,000 - 49,999",NA,NA,7.77,ALL SEXES,48343
BALOCHISTAN,112,KECH DISTRICT,TUMP SUB-TEHSIL,TUMP MC,"25,000 - 49,999",NA,NA,7.77,MALE,25590
BALOCHISTAN,112,KECH DISTRICT,TUMP SUB-TEHSIL,TUMP MC,"25,000 - 49,999",NA,NA,7.77,FEMALE,22751
BALOCHISTAN,112,KECH DISTRICT,TUMP SUB-TEHSIL,TUMP MC,"25,000 - 49,999",NA,NA,7.77,TRANSGENDER,2
BALOCHISTAN,112,KECH DISTRICT,BULAIDA SUB-TEHSIL,BULAIDA MC,"25,000 - 49,999",NA,NA,6.84,ALL SEXES,39846
BALOCHISTAN,112,KECH DISTRICT,BULAIDA SUB-TEHSIL,BULAIDA MC,"25,000 - 49,999",NA,NA,6.84,MALE,21248
BALOCHISTAN,112,KECH DISTRICT,BULAIDA SUB-TEHSIL,BULAIDA MC,"25,000 - 49,999",NA,NA,6.84,FEMALE,18592
BALOCHISTAN,112,KECH DISTRICT,BULAIDA SUB-TEHSIL,BULAIDA MC,"25,000 - 49,999",NA,NA,6.84,TRANSGENDER,6
