province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,1 PERSON,1,186,0.6,2.58,2880,9.24,4.88,67
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,2 PERSONS,1,1383,4.44,2.31,2880,9.24,4.88,441
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,3 PERSONS,1,2076,6.66,2.68,2880,9.24,4.88,472
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,4 PERSONS,1,2736,8.78,2.84,2880,9.24,4.88,449
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,5 PERSONS,1,3281,10.52,3.01,2880,9.24,4.88,436
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,6 PERSONS,1,3598,11.54,3.29,2880,9.24,4.88,349
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,7 PERSONS,1,3536,11.34,3.51,2880,9.24,4.88,259
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,8 PERSONS,1,3166,10.15,3.75,2880,9.24,4.88,175
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,9 PERSONS,1,2569,8.24,3.96,2880,9.24,4.88,98
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,10 PERSONS AND ABOVE,1,8646,27.73,4.98,2880,9.24,4.88,134
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,1 PERSON,2,186,0.6,2.58,7289,23.38,6,50
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,2 PERSONS,2,1383,4.44,2.31,7289,23.38,6,520
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,3 PERSONS,2,2076,6.66,2.68,7289,23.38,6,763
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,4 PERSONS,2,2736,8.78,2.84,7289,23.38,6,984
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,5 PERSONS,2,3281,10.52,3.01,7289,23.38,6,1086
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,6 PERSONS,2,3598,11.54,3.29,7289,23.38,6,1079
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,7 PERSONS,2,3536,11.34,3.51,7289,23.38,6,916
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,8 PERSONS,2,3166,10.15,3.75,7289,23.38,6,732
