province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
SINDH,095,KARACHI WEST DISTRICT,MOMINABAD SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",596593,1.85,5.78,ALL SEXES,845797
SINDH,095,KARACHI WEST DISTRICT,MOMINABAD SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",596593,1.85,5.78,MALE,438296
SINDH,095,KARACHI WEST DISTRICT,MOMINABAD SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",596593,1.85,5.78,FEMALE,407422
SINDH,095,KARACHI WEST DISTRICT,MOMINABAD SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",596593,1.85,5.78,TRANSGENDER,79
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",406165,3.84,6.4,ALL SEXES,832583
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",406165,3.84,6.4,MALE,434973
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",406165,3.84,6.4,FEMALE,397480
SINDH,095,KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",406165,3.84,6.4,TRANSGENDER,130
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",NA,NA,6.1,ALL SEXES,550332
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",NA,NA,6.1,MALE,287384
SINDH,095,KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,DISTRICT MUNICIPAL CORPORATION KARACHI WEST DISTRICT,"500,000 AND ABOVE",NA,NA,6.1,FEMALE,262911
