province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,marital_status,count
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,ALL AGES,778,NEVER MARRIED,489
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,170,NEVER MARRIED,170
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,05-09,146,NEVER MARRIED,146
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,10-14,95,NEVER MARRIED,93
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,15-24,123,NEVER MARRIED,65
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,25-34,94,NEVER MARRIED,4
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,35-44,57,NEVER MARRIED,4
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,45-54,30,NEVER MARRIED,4
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,55-64,34,NEVER MARRIED,0
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,65-74,16,NEVER MARRIED,1
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,13,NEVER MARRIED,2
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,ALL AGES,778,MARRIED,278
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,BELOW 5 YEARS,170,MARRIED,0
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,05-09,146,MARRIED,0
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,10-14,95,MARRIED,2
