province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,1 PERSON,1,55,0.81,1.84,774,11.35,5.24,33
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,2 PERSONS,1,231,3.39,1.74,774,11.35,5.24,120
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,3 PERSONS,1,298,4.37,1.94,774,11.35,5.24,120
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,4 PERSONS,1,401,5.88,2.12,774,11.35,5.24,123
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,5 PERSONS,1,490,7.19,2.31,774,11.35,5.24,99
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,6 PERSONS,1,565,8.29,2.66,774,11.35,5.24,58
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,7 PERSONS,1,671,9.84,2.76,774,11.35,5.24,67
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,8 PERSONS,1,711,10.43,2.96,774,11.35,5.24,43
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,9 PERSONS,1,576,8.45,3.22,774,11.35,5.24,30
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,10 PERSONS AND ABOVE,1,2821,41.37,4.31,774,11.35,5.24,81
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,1 PERSON,2,55,0.81,1.84,1919,28.14,7.25,11
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,2 PERSONS,2,231,3.39,1.74,1919,28.14,7.25,78
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,3 PERSONS,2,298,4.37,1.94,1919,28.14,7.25,118
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,4 PERSONS,2,401,5.88,2.12,1919,28.14,7.25,171
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,5 PERSONS,2,490,7.19,2.31,1919,28.14,7.25,223
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,6 PERSONS,2,565,8.29,2.66,1919,28.14,7.25,241
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,7 PERSONS,2,671,9.84,2.76,1919,28.14,7.25,276
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,8 PERSONS,2,711,10.43,2.96,1919,28.14,7.25,266
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,9 PERSONS,2,576,8.45,3.22,1919,28.14,7.25,159
