province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,marital_status,count
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,ALL AGES,245,NEVER MARRIED,92
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,BELOW 5 YEARS,17,NEVER MARRIED,17
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,05-09,14,NEVER MARRIED,14
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,10-14,6,NEVER MARRIED,6
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,15-24,42,NEVER MARRIED,29
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,25-34,72,NEVER MARRIED,17
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,35-44,51,NEVER MARRIED,5
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,45-54,33,NEVER MARRIED,2
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,55-64,5,NEVER MARRIED,1
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,65-74,2,NEVER MARRIED,0
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,75 AND ABOVE,3,NEVER MARRIED,1
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,ALL AGES,245,MARRIED,146
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,BELOW 5 YEARS,17,MARRIED,0
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,05-09,14,MARRIED,0
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,10-14,6,MARRIED,0
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,ALL SEXES,15-24,42,MARRIED,13
